TABLEU,C1_AGE,C1_RANKING,C1_HANDNESS,C1_WEAPON,C2_AGE,C2_RANKING,C2_HANDNESS,C2_WEAPON,WINNER
4,23,95,1.0,2.0,29,54,0.0,2.0,0.0
4,27,23,0.0,2.0,28,85,0.0,2.0,0.0
2,23,95,1.0,2.0,27,23,0.0,2.0,1.0
32,26,50,0.0,1.0,24,327,0.0,1.0,0.0
32,22,180,1.0,1.0,21,332,0.0,1.0,1.0
32,19,349,0.0,1.0,20,179,0.0,1.0,1.0
32,19,213,0.0,1.0,30,314,0.0,1.0,0.0
32,34,97,0.0,1.0,16,384,0.0,1.0,0.0
32,22,103,1.0,1.0,17,359,1.0,1.0,0.0
32,22,93,1.0,1.0,25,214,0.0,1.0,0.0
32,17,388,0.0,1.0,26,53,0.0,1.0,1.0
32,22,83,0.0,1.0,32,280,0.0,1.0,0.0
32,23,210,1.0,1.0,18,197,0.0,1.0,1.0
32,14,354,0.0,1.0,18,338,0.0,1.0,1.0
32,26,300,1.0,1.0,21,107,0.0,1.0,1.0
32,22,191,0.0,1.0,17,379,0.0,1.0,0.0
32,17,376,0.0,1.0,21,18,0.0,1.0,1.0
32,41,313,0.0,1.0,30,150,1.0,1.0,0.0
32,21,98,0.0,1.0,28,21,0.0,1.0,1.0
16,26,50,0.0,1.0,21,332,0.0,1.0,0.0
16,20,179,0.0,1.0,19,213,0.0,1.0,0.0
16,34,97,0.0,1.0,22,103,1.0,1.0,0.0
16,22,93,1.0,1.0,26,53,0.0,1.0,0.0
16,22,83,0.0,1.0,18,197,0.0,1.0,0.0
16,18,338,0.0,1.0,21,107,0.0,1.0,1.0
16,22,191,0.0,1.0,21,18,0.0,1.0,0.0
16,41,313,0.0,1.0,28,21,0.0,1.0,1.0
8,26,50,0.0,1.0,20,179,0.0,1.0,0.0
8,34,97,0.0,1.0,22,93,1.0,1.0,0.0
8,22,83,0.0,1.0,21,107,0.0,1.0,0.0
8,22,191,0.0,1.0,28,21,0.0,1.0,1.0
4,26,50,0.0,1.0,34,97,0.0,1.0,1.0
4,22,83,0.0,1.0,28,21,0.0,1.0,1.0
2,34,97,0.0,1.0,28,21,0.0,1.0,1.0
32,24,9,1.0,2.0,33,25,0.0,2.0,1.0
32,20,361,0.0,2.0,35,344,0.0,2.0,1.0
32,24,192,0.0,2.0,20,198,0.0,2.0,0.0
32,27,23,0.0,2.0,33,391,0.0,2.0,0.0
32,27,199,0.0,2.0,24,57,0.0,2.0,1.0
32,38,68,1.0,2.0,53,395,0.0,2.0,0.0
32,24,362,1.0,2.0,23,137,0.0,2.0,1.0
32,23,160,0.0,2.0,21,332,0.0,2.0,0.0
32,20,370,0.0,2.0,17,412,0.0,2.0,0.0
32,42,287,0.0,2.0,24,262,0.0,2.0,0.0
32,27,429,0.0,2.0,22,125,0.0,2.0,1.0
32,25,356,0.0,2.0,22,274,0.0,2.0,0.0
32,21,107,0.0,2.0,21,161,1.0,2.0,0.0
32,24,276,1.0,2.0,21,427,0.0,2.0,0.0
32,19,399,0.0,2.0,23,347,0.0,2.0,1.0
32,28,415,1.0,2.0,26,28,0.0,2.0,1.0
16,33,25,0.0,2.0,35,344,0.0,2.0,0.0
16,24,192,0.0,2.0,27,23,0.0,2.0,1.0
16,24,57,0.0,2.0,38,68,1.0,2.0,1.0
16,23,137,0.0,2.0,23,160,0.0,2.0,0.0
16,20,370,0.0,2.0,42,287,0.0,2.0,1.0
16,22,125,0.0,2.0,25,356,0.0,2.0,0.0
16,21,107,0.0,2.0,24,276,1.0,2.0,0.0
